Date,Close,high price to date,is new high y/n,price 1 yr later,1 yr avg performance,price 3 yr later,,,,,,,,,
1/29/1993,43.9375,43.9375,y,47.875,8.96%,,,,,,,,,,
2/1/1993,44.25,44.25,y,,,,,,,,,,,,
2/2/1993,44.34375,44.34375,y,,,,,,,,,,,,
2/3/1993,44.8125,44.8125,y,,,,,,,,,,,,
2/4/1993,45,45,y,,,,,,,,,,,,
2/5/1993,44.96875,45,n,,,,,,,,,,,,
2/8/1993,44.96875,45,n,,,,,,,,,,,,
2/9/1993,44.65625,45,n,,,,,,,,,,,,
2/10/1993,44.71875,45,n,,,,,,,,,,,,
2/11/1993,44.9375,45,n,,,,,,,,,,,,
2/12/1993,44.59375,45,n,,,,,,,,,,,,
2/16/1993,43.46875,45,n,,,,,,,,,,,,
2/17/1993,43.4375,45,n,,,,,,,,,,,,
2/18/1993,43.40625,45,n,,,,,,,,,,,,
2/19/1993,43.5625,45,n,,,,,,,,,,,,
2/22/1993,43.71875,45,n,,,,,,,,,,,,
2/23/1993,43.6875,45,n,,,,,,,,,,,,
2/24/1993,44.25,45,n,,,,,,,,,,,,
2/25/1993,44.34375,45,n,,,,,,,,,,,,
2/26/1993,44.40625,45,n,,,,,,,,,,,,
3/1/1993,44.28125,45,n,,,,,,,,,,,,
3/2/1993,44.9375,45,n,,,,,,,,,,,,
3/3/1993,45.125,45.125,y,,,,,,,,,,,,
3/4/1993,44.875,45.125,n,,,,,,,,,,,,
3/5/1993,44.75,45.125,n,,,,,,,,,,,,
3/8/1993,45.75,45.75,y,,,,,,,,,,,,
3/9/1993,45.59375,,,,,,,,,,,,,,
3/10/1993,45.6875,,,,,,,,,,,,,,
3/11/1993,45.5625,,,,,,,,,,,,,,
3/12/1993,45.09375,,,,,,,,,,,,,,
3/15/1993,45.3125,,,,,,,,,,,,,,
3/16/1993,45.3125,,,,,,,,,,,,,,
3/17/1993,45.03125,,,,,,,,,,,,,,
3/18/1993,45.3125,,,,,,,,,,,,,,
3/19/1993,45.03125,,,,,,,,,,,,,,
3/22/1993,44.78125,,,,,,,,,,,,,,
3/23/1993,44.875,,,,,,,,,,,,,,
3/24/1993,44.875,,,,,,,,,,,,,,
3/25/1993,45.15625,,,,,,,,,,,,,,
3/26/1993,44.90625,,,,,,,,,,,,,,
3/29/1993,45.09375,,,,,,,,,,,,,,
3/30/1993,45.21875,,,,,,,,,,,,,,
3/31/1993,45.1875,,,,,,,,,,,,,,
4/1/1993,45.03125,,,,,,,,,,,,,,
4/2/1993,44.09375,,,,,,,,,,,,,,
4/5/1993,44.3125,,,,,,,,,,,,,,
4/6/1993,44.1875,,,,,,,,,,,,,,
4/7/1993,44.34375,,,,,,,,,,,,,,
4/8/1993,44.28125,,,,,,,,,,,,,,
4/12/1993,44.90625,,,,,,,,,,,,,,
4/13/1993,45,,,,,,,,,,,,,,
